claim_id,claim_text,status,supporting_stage,supporting_metric_or_fact,scope,notes
P4_POS_01,The smeared sector is carried by the accepted 24.1 observable core and not by rejected braid- or asymmetry-based quantities.,survives_portably,24.1 / IV-A1,"carry_forward_core = ['topology_survival_time', 'refinement_stability_flag', 'weak_coupling_stability_flag', 'reverse_stability_flag', 'flow_concentration_index']; rejected_observables = ['transfer_asymmetry', 'coherence_decay_rate', 'topology_return_error', 'braid_like_exchange_indicator', 'mechanism_sensitivity_score']",observable_ledger,Phase IV keeps braid and the rejected observable family outside the core.
P4_POS_02,The stable closed smeared sector is selected by the fixed threshold law: stable_closed_smeared = 1 iff flow_concentration_index <= 0.884308.,survives_portably,24.2 / IV-A2,selected_model_id = IVA2_M1; selected_law_expression = stable_closed_smeared = 1 iff flow_concentration_index <= 0.884308,selector_law,The selector uses only flow_concentration_index and keeps corridor variables out of state.
P4_POS_03,The fixed threshold selector remains valid across most tested extension conditions without retuning.,survives_portably,24.4 / IV-A4,"status_counts = {'law_survives_ordering_survives': 8, 'law_survives_ordering_degrades': 2, 'law_fails_ordering_not_applicable': 2}",local_extension_radius,Selector-valid conditions include all law_survives_ordering_survives and law_survives_ordering_degrades cases.
P4_POS_04,Ordering boundaries appear before the first selector-failure boundary on the tested extension lattice.,survives_portably,24.4 / IV-A4,"first_boundary_by_class = {'clustered_texture_perturbation': {'extension_id': 'IVA4_E1_moderate', 'extension_level': 'moderate', 'status_class': 'law_survives_ordering_degrades'}, 'support_anisotropy_skew': None, 'motif_structure_perturbation': {'extension_id': 'IVA4_E3_mild', 'extension_level': 'mild', 'status_class': 'law_survives_ordering_degrades'}, 'corridor_geometry_perturbation': {'extension_id': 'IVA4_E4_moderate', 'extension_level': 'moderate', 'status_class': 'law_fails_ordering_not_applicable'}}",extension_boundary_ordering,Motif and clustered-texture ordering degradation occur before the first selector failure at moderate corridor geometry perturbation.
P4_POS_05,phase_corridor_position and phase_corridor_width remain external conditioning coordinates rather than Phase IV state variables.,survives_portably,24.1 / IV-A1; 24.2 / IV-A2,"carry_forward_context = ['phase_corridor_position', 'phase_corridor_width']; context_variables_not_promoted = True",phaseIV_portable_core,Corridor variables are not promoted into the selector law.
P4_LOC_01,"Inside the law-defined stable smeared sector, lower flow_concentration_index orders with longer topology_survival_time.",survives_locally,24.3 / IV-A3,selected_candidate_id = IVA3_Q3; expression = lower flow_concentration_index orders with longer topology_survival_time inside the stable smeared sector,local_extension_radius,This is the accepted local ordering statement for Phase IV.
P4_LOC_02,The accepted inverse flow-survival ordering is not a restatement of the selector threshold law.,survives_locally,24.3 / IV-A3,law_restatement_rejected = True; exact_support_signature_present = True,local_structure,Q1 remains secondary and Q2 remains explicitly rejected as a quasi-invariant.
P4_LOC_03,The stable-set inverse ordering differs sharply from contrast behavior on the frozen branch.,survives_locally,24.3 / IV-A3,stable_metric = spearman_rho=-0.9747; contrast_metric = spearman_rho=0.5476,local_structure,The sign split rho < 0 stable and rho > 0 contrast is part of the frozen Phase IV read.
P4_LOC_04,The inverse flow-survival ordering has bounded local portability but does not survive uniformly across the tested extension lattice.,survives_locally,24.4 / IV-A4,"status_counts = {'law_survives_ordering_survives': 8, 'law_survives_ordering_degrades': 2, 'law_fails_ordering_not_applicable': 2}; first_boundary_by_class = {'clustered_texture_perturbation': {'extension_id': 'IVA4_E1_moderate', 'extension_level': 'moderate', 'status_class': 'law_survives_ordering_degrades'}, 'support_anisotropy_skew': None, 'motif_structure_perturbation': {'extension_id': 'IVA4_E3_mild', 'extension_level': 'mild', 'status_class': 'law_survives_ordering_degrades'}, 'corridor_geometry_perturbation': {'extension_id': 'IVA4_E4_moderate', 'extension_level': 'moderate', 'status_class': 'law_fails_ordering_not_applicable'}}",extension_boundary_ordering,Ordering survives widely but reaches distinct local boundaries before selector failure in some classes.
P4_LOC_05,Support anisotropy / skew stayed inside the tested survival radius on the current extension lattice.,bounded_support,24.4 / IV-A4,support_anisotropy_skew boundary = None,extension_boundary_ordering,No failure boundary was reached on the tested support-anisotropy levels.
P4_NEG_01,The inverse flow-survival ordering does not survive uniformly across the tested extension lattice.,fails,24.4 / IV-A4,"status_counts = {'law_survives_ordering_survives': 8, 'law_survives_ordering_degrades': 2, 'law_fails_ordering_not_applicable': 2}",extension_boundary_ordering,Uniform ordering portability fails on this branch.
P4_NEG_02,Motif structure perturbation reaches the earliest tested ordering boundary at IVA4_E3_mild.,fails,24.4 / IV-A4,"motif_structure_perturbation boundary = {'extension_id': 'IVA4_E3_mild', 'extension_level': 'mild', 'status_class': 'law_survives_ordering_degrades'}",extension_boundary_ordering,This is the first ordering degradation boundary on the tested lattice.
P4_NEG_03,Clustered texture perturbation reaches ordering degradation at IVA4_E1_moderate.,fails,24.4 / IV-A4,"clustered_texture_perturbation boundary = {'extension_id': 'IVA4_E1_moderate', 'extension_level': 'moderate', 'status_class': 'law_survives_ordering_degrades'}",extension_boundary_ordering,Clustered texture is a later ordering boundary than motif perturbation.
P4_NEG_04,Moderate corridor geometry perturbation reaches the first tested selector-failure boundary at IVA4_E4_moderate.,fails,24.4 / IV-A4,"corridor_geometry_perturbation boundary = {'extension_id': 'IVA4_E4_moderate', 'extension_level': 'moderate', 'status_class': 'law_fails_ordering_not_applicable'}",extension_boundary_selector,Selector failure appears later than the earliest ordering boundaries.
P4_NEG_05,No braid-labeled quantity re-enters the Phase IV core.,excluded,24.1 / IV-A1; 23.14 / III-C5,"rejected_observables = ['transfer_asymmetry', 'coherence_decay_rate', 'topology_return_error', 'braid_like_exchange_indicator', 'mechanism_sensitivity_score']; family_wide_braid_mechanism = False",observable_ledger,Braid remains excluded from the Phase IV explanatory core.
P4_NEG_06,The rejected observable family remains excluded from Phase IV core structure.,excluded,24.1 / IV-A1,"rejected_observables = ['transfer_asymmetry', 'coherence_decay_rate', 'topology_return_error', 'braid_like_exchange_indicator', 'mechanism_sensitivity_score']",observable_ledger,"Transfer asymmetry, coherence decay, topology return error, braid-like exchange indicator, and mechanism sensitivity score stay excluded."
P4_NEG_07,The current law-and-ordering package does not justify a family-wide transport law claim.,excluded,24.4 / IV-A4,"status_counts = {'law_survives_ordering_survives': 8, 'law_survives_ordering_degrades': 2, 'law_fails_ordering_not_applicable': 2}; first_boundary_by_class = {'clustered_texture_perturbation': {'extension_id': 'IVA4_E1_moderate', 'extension_level': 'moderate', 'status_class': 'law_survives_ordering_degrades'}, 'support_anisotropy_skew': None, 'motif_structure_perturbation': {'extension_id': 'IVA4_E3_mild', 'extension_level': 'mild', 'status_class': 'law_survives_ordering_degrades'}, 'corridor_geometry_perturbation': {'extension_id': 'IVA4_E4_moderate', 'extension_level': 'moderate', 'status_class': 'law_fails_ordering_not_applicable'}}",phaseIV_portable_core,Portability remains bounded and branch-local.
P4_NEG_08,"Nothing in Phase IV reopens family-wide braid mechanism, stable braid phase, or localized encounter claims from Phase III.",excluded,23.14 / III-C5; 24.5 / IV-A5,family_wide_braid_mechanism = False; stable_braid_phase_present = False; localized_encounter_phase_present = False,phaseIII_background,Phase III negatives remain fully intact.
