extension_id,extension_class,extension_level,extension_description,law_valid,ordering_applicable,ordering_valid,stable_subset_size,law_fit_score,stable_rho,contrast_rho,ordering_gap,monotonic_consistency_score,status_class,branch_valid,selected_boundary_relevant,notes
IVA4_E1_baseline,clustered_texture_perturbation,baseline,Strong-asymmetry clustered anchor with no extra structural perturbation.,True,True,True,5,1.0000,-0.9747,,0.9747,1.0000,law_survives_ordering_survives,True,False,Both the fixed threshold law and the preserved inverse ordering survive.
IVA4_E1_mild,clustered_texture_perturbation,mild,Mild clustered texture weakening through reduced width asymmetry.,True,True,True,4,1.0000,-1.0000,,1.0000,1.0000,law_survives_ordering_survives,True,False,Both the fixed threshold law and the preserved inverse ordering survive.
IVA4_E1_moderate,clustered_texture_perturbation,moderate,Moderate clustered texture weakening through further reduced width asymmetry.,True,False,False,2,1.0000,,,,,law_survives_ordering_degrades,True,True,"The threshold law survives, but the preserved inverse ordering no longer satisfies the frozen 24.3 criteria."
IVA4_E4_baseline,corridor_geometry_perturbation,baseline,Baseline phase corridor used in Stage 23.12 and carried into Phase IV.,True,True,True,5,1.0000,-0.9747,,0.9747,1.0000,law_survives_ordering_survives,True,False,Both the fixed threshold law and the preserved inverse ordering survive.
IVA4_E4_mild,corridor_geometry_perturbation,mild,Mild corridor narrowing inside the branch-valid phase window.,True,True,True,5,1.0000,-0.9487,,0.9487,1.0000,law_survives_ordering_survives,True,False,Both the fixed threshold law and the preserved inverse ordering survive.
IVA4_E4_moderate,corridor_geometry_perturbation,moderate,Moderate corridor broadening while remaining local to the clustered branch.,False,False,False,0,0.8000,,,,,law_fails_ordering_not_applicable,True,True,The fixed Stage 24.2 threshold law no longer classifies the stable smeared subset exactly on this five-phase family.
IVA4_E3_baseline,motif_structure_perturbation,baseline,Anchor clustered pair with no additional local motif packet.,True,True,True,5,1.0000,-0.9747,,0.9747,1.0000,law_survives_ordering_survives,True,False,Both the fixed threshold law and the preserved inverse ordering survive.
IVA4_E3_mild,motif_structure_perturbation,mild,Mild local motif injection via a low-amplitude tertiary support packet.,True,True,False,5,1.0000,-0.8660,,0.8660,1.0000,law_survives_ordering_degrades,True,True,"The threshold law survives, but the preserved inverse ordering no longer satisfies the frozen 24.3 criteria."
IVA4_E3_moderate,motif_structure_perturbation,moderate,Moderate motif injection while remaining clustered and operator-frozen.,False,False,False,0,0.8000,,,,,law_fails_ordering_not_applicable,True,False,The fixed Stage 24.2 threshold law no longer classifies the stable smeared subset exactly on this five-phase family.
IVA4_E2_baseline,support_anisotropy_skew,baseline,Anchor support with isotropic packet envelope.,True,True,True,5,1.0000,-0.9747,,0.9747,1.0000,law_survives_ordering_survives,True,False,Both the fixed threshold law and the preserved inverse ordering survive.
IVA4_E2_mild,support_anisotropy_skew,mild,Mild local support anisotropy with fixed operator and width anchor.,True,True,True,4,1.0000,-0.9487,,0.9487,1.0000,law_survives_ordering_survives,True,False,Both the fixed threshold law and the preserved inverse ordering survive.
IVA4_E2_moderate,support_anisotropy_skew,moderate,Moderate support anisotropy within the same clustered branch.,True,True,True,4,1.0000,-0.9487,,0.9487,1.0000,law_survives_ordering_survives,True,False,Both the fixed threshold law and the preserved inverse ordering survive.
