claim_id,claim_or_probe,status,scope,supporting_artifact,promotion_gate,allowed_language,disallowed_language,notes
spherical_harmonic_boundary_geometry,Spherical harmonic boundary geometry,PASS,"Known-target S2 mode recovery on a constructed discrete sphere; hardened against weight-shuffle, geodesic-bin shuffle, degree-rewire, and smooth-ring controls.",experiments/physics_bridge/spherical_harmonic_control_probe/bridge_status.json,Already closed only as a boundary-geometry sanity check.,known-target S2 mode sanity check; spherical-harmonic control probe,null infinity recovered; celestial sphere derived; asymptotic boundary proven,latest_real_score=0.983652; control_max=0.780955; best_control=weight_shuffle_geodesic_control
toy_soft_structure_proxy,Toy soft-structure proxy,PASS,Synthetic amplitude-like pole/residue/factorization benchmark with controls that preserve smoothness or spectra while breaking soft-specific structure.,experiments/physics_bridge/soft_structure_proxy_test/bridge_status.json,Already closed only for toy data with known residues and factorization.,toy soft-pole/residue/factorization proxy; synthetic soft-structure sanity check,real soft theorem recovery; celestial amplitude recovery; S-matrix evidence,target_soft_score=0.973247; control_max=0.722906; best_control=pole_location_drift_control
toy_gravitational_memory_proxy,Toy gravitational-memory proxy,PASS,"Synthetic permanent-displacement benchmark on sampled S2 with known target mode, permanent step, temporal profile, and controls.",experiments/physics_bridge/gravitational_memory_toy_probe/bridge_status.json,Already closed only as a synthetic displacement-memory toy benchmark.,toy memory-like displacement proxy; synthetic memory benchmark,real gravitational memory detected; memory observable recovered; BMS soft hair recovered,target_memory_score=0.970676; control_max=0.190904; best_control=low_mode_decoy_control
toy_multipole_supertranslation_proxy,Toy multi-pole supertranslation proxy,PASS,"Synthetic ordered l=2,3,4 permanent mode-shift sequence on sampled S2; tests ordered address-binding, field identity, event order, and permanence.",experiments/physics_bridge/multipole_supertranslation_probe/bridge_status.json,Already closed only as an ordered synthetic S2 mode-shift benchmark.,toy multi-pole supertranslation-like proxy; ordered S2 mode-shift benchmark,real BMS supertranslation recovered; BMS charge recovered; soft hair proven,target_supertranslation_score=0.980025; control_max=0.751041; best_control=event_order_shuffle_control
toy_supertranslation_memory_composition_proxy,Toy supertranslation + memory composition proxy,PASS,Synthetic two-stage benchmark that composes a supertranslation-like shift with a later induced memory-like response through a fixed toy response map.,experiments/physics_bridge/supertranslation_memory_composition_probe/bridge_status.json,Already closed only for the synthetic response-map composition benchmark.,toy supertranslation-memory composition proxy; synthetic response relation,real BMS-memory composition recovered; gravitational memory relation proven,target_composition_score=0.982918; control_max=0.527133; best_control=wrong_shift_right_memory_control
gw_memory_entry_gate_proxy,GW memory entry-gate proxy,PASS,"Strain-derived proxy telemetry on a deterministic GW150914-like surrogate or optional local strain file with time-shuffle, phase-scramble, amplitude-preserving, event-window, off-event, and noise controls.",experiments/physics_bridge/gw_memory_entry_gate/bridge_status.json,Closed only as a strain-derived entry gate. Promotion requires external gravitational-memory observable benchmarks and real-data replication.,strain-derived proxy entry gate; structured strain-like event separated from controls,real gravitational memory detected; BMS charge recovered; GW memory observed,target_strain_proxy_score=0.950129; control_max=0.771057; best_control=event_window_scramble_control
gw_event_window_hardening_proxy,GW event-window hardening proxy,MARGINAL,"Multi-event strain-derived proxy hardening against sliding-window, partial-overlap, chirp-reversal, envelope-locked phase, timing-randomization, and micro-chunk controls.",experiments/physics_bridge/gw_memory_entry_gate/event_window_hardening_status.json,Requires mean margin >= 0.25 and zero event-window control leakage before being promoted from MARGINAL to bounded PASS.,event-window hardening diagnostic; remaining strain-proxy leakage characterized,real gravitational memory detected; event-window leak closed; GW memory observed,mean_margin=0.165211; min_margin=0.095000; highest_control=sliding_window_scramble_control
celestial_holography_recovery,Celestial holography recovery,OPEN,Full flat-space holographic dictionary is not addressed by current HAOS sidecars.,experiments/physics_bridge/celestial_boundary_audit/bridge_status.json,Requires a real map from 4D scattering data to celestial correlator-like observables.,celestial boundary remains open; sidecar stress tests only,HAOS recovers celestial holography; HAOS derives CCFT,Phase 57 status remains OPEN.
bms_charge_recovery,BMS charge recovery,OPEN,"No asymptotic BMS charge algebra, Ward identity, or charge-conservation test has been closed.",experiments/physics_bridge/celestial_boundary_audit/bridge_status.json,Requires explicit supertranslation/superrotation charge construction and Ward tests.,BMS-facing requirement remains open,BMS charges recovered; asymptotic symmetry proven,Do not infer BMS structure from low-mode persistence or spherical harmonics.
virasoro_ccft_recovery,Virasoro / celestial CFT recovery,OPEN,"No Virasoro generators, stress-tensor action, CCFT OPE, or conformal primary dictionary is closed.",experiments/physics_bridge/celestial_boundary_audit/bridge_status.json,Requires controlled boundary operator algebra and conformal/OPE tests.,Virasoro/CCFT remains a comparison target,Virasoro recovered; celestial CFT derived,Spherical-harmonic mode recovery is not conformal field theory recovery.
s_matrix_reconstruction,S-matrix reconstruction,OPEN,No real unitary scattering amplitudes or S-matrix dictionary are reconstructed.,experiments/physics_bridge/celestial_boundary_audit/bridge_status.json,Requires toy-unitary and real-amplitude tests before any S-matrix language is allowed.,no S-matrix reconstruction claim,HAOS reconstructs amplitudes; HAOS contains the S-matrix,Phase 59 uses synthetic amplitude-like tables only.
real_soft_theorem_recovery,Real soft theorem recovery,OPEN,"No gravitational, gauge-theory, or celestial soft theorem has been recovered from real amplitude data.",experiments/physics_bridge/soft_structure_proxy_test/bridge_status.json,"Requires known physical soft theorem datasets with residues, Ward identities, and controls.",toy soft-structure proxy passed,soft theorem recovered; soft graviton theorem closed,The Phase 59 PASS is synthetic and row-local.
gravitational_memory_observable,Gravitational memory observable,OPEN,"No displacement memory, spin memory, detector observable, or memory/soft-charge equivalence test is closed.",experiments/physics_bridge/gw_memory_entry_gate/bridge_status.json,Requires an explicit memory observable benchmark and comparison to controls.,toy memory and strain-derived proxy rows exist; real observable remains open,gravitational memory predicted; memory effect recovered,"Phases 61, 64, and 65 are proxy gates only; they do not close this row."
claim_boundary_enforcement,Claim boundary enforcement,PASS,This Phase 60 table separates bounded proxy PASS rows from OPEN established-physics claims.,experiments/physics_bridge/claim_gated_bridge_update/claim_gate_table.csv,"Use this table when editing physics-facing README, reports, papers, or public summaries.",claim-gated physics bridge; bounded proxy rows,source code of physics; theory of everything; real gravity closure,"A PASS here means claim hygiene, not physics closure."
