observable_id,observable_label,status,allowed_into_phaseIV_core,source_stage,scope,available_on_frozen_branch,sensitivity_score,stable_range,contrast_range,rationale
phase_corridor_position,Phase corridor position,secondary_observable,False,23.12 / III-C3,context_coordinate,True,0.000,0.3750 -> 0.5750,0.3750 -> 0.5750,"Phase position organizes where the stable smeared row sits, but the same sampled phases also appear in transient mixed controls, so it is contextual rather than a primary separator."
phase_corridor_width,Phase corridor width,derived,False,23.12 / III-C3,derived_boundary_summary,True,n/a,0.200,n/a,"Corridor width is a boundary summary of the stable smeared component, not a per-cell operational observable."
topology_survival_time,Topology survival time,primary_observable,True,23.12 / III-C3,stable_smeared_region,True,0.715,0.0626 -> 0.2501,0.1253 -> 0.5011,"This is the minimal persistence-carrying observable on the closed branch. It is not sufficient alone, but it is required to carry smeared-sector lifetime structure into 24.2."
transfer_asymmetry,Transfer asymmetry,reject,False,none,unavailable_on_frozen_branch,False,n/a,n/a,n/a,No branch-stable transfer-asymmetry quantity is present in the frozen Phase III closure outputs without introducing a new bookkeeping transport model.
refinement_stability_flag,Refinement stability flag,primary_observable,True,23.12 / III-C3,closure_support,True,1.000,1.0000 -> 1.0000,0.0000 -> 0.0000,Refinement stability is a necessary closure-support observable and perfectly separates the stable smeared cells from the transient mixed controls on the frozen lattice.
weak_coupling_stability_flag,Weak-coupling stability flag,primary_observable,True,23.12 / III-C3,closure_support,True,0.600,1.0000 -> 1.0000,0.0000 -> 1.0000,"The stable smeared component is beta-stable by construction. This flag is not sufficient on its own, but it is indispensable because the closed regime is defined only after the weak-coupling consistency check is passed."
reverse_stability_flag,Reverse stability flag,primary_observable,True,23.12 / III-C3,closure_support,True,1.000,1.0000 -> 1.0000,0.0000 -> 0.0000,Reverse stability is required by the Phase III closure rule and cleanly separates the stable smeared cells from the transient mixed controls.
coherence_decay_rate,Coherence decay rate,reject,False,none,unavailable_on_frozen_branch,False,n/a,n/a,n/a,"The frozen closure outputs retain coherence levels, not a regime-stable coherence-decay-rate observable. Promoting a decay metric here would require a new analysis layer not licensed by Phase III."
grade_exchange_coherence_level,Grade-exchange coherence level,secondary_observable,False,23.12 / III-C3,descriptive_support,True,0.388,0.4348 -> 0.4430,0.4329 -> 0.4410,"Coherence remains well-defined across the smeared sector, but its stable and contrast ranges overlap too strongly to justify promotion into the minimal Phase IV core."
flow_concentration_index,Flow concentration index,primary_observable,True,23.12 / III-C3,stable_smeared_region,True,1.000,0.8691 -> 0.8824,0.8862 -> 0.8997,This is the strongest continuous transport-like separator on the frozen branch: the stable smeared cells occupy a clean low-flow-concentration band disjoint from the transient mixed controls.
topology_return_error,Topology return error,reject,False,23.13 / III-C4,ablation_specific_metric,True,n/a,n/a,n/a,Return error exists only as a branch-specific ablation diagnostic in Stage 23.13 and does not define the stable smeared sector across the frozen closure lattice.
smeared_regime_membership_flag,Smeared regime membership flag,derived,False,23.12 / III-C3,derived_target_label,True,1.000,1,0,"This is the target label produced by the Phase III closure pass. It is necessary as an outcome variable, but it is not itself a measurable Phase IV observable."
braid_like_exchange_indicator,Braid-like exchange indicator,reject,False,23.12 / III-C3; 23.14 / III-C5,phaseIII_excluded_claim_space,True,1.000,0,contrast-only,"Braid-centered quantities are explicitly excluded from promotion into the Phase IV core. They may appear only as contrast descriptors, because the family-wide braid claim and stable braid-phase claim failed in Phase III."
mechanism_sensitivity_score,Mechanism sensitivity score,reject,False,23.13 / III-C4,ablation_specific_metric,True,n/a,n/a,n/a,Mechanism sensitivity is tied to the ablation design of Stage 23.13 and does not characterize the closed smeared sector itself.
