audit_id,celestial_requirement,haos_current_evidence,current_coverage,status,boundary_risk,next_test,claim_gate
asymptotic_s2_boundary,Recover an S2-like asymptotic boundary at null infinity.,Phases 17-18 build proto-geometry and distance surrogates from frozen branch-local operator data.,local proto-geometric proxies only,OPEN,high,Phase 58 spherical-harmonic control probe on a known discrete sphere.,Do not describe HAOS proto-geometry as null infinity or a celestial sphere.
conformal_mellin_basis,Represent conformal weights via Mellin-basis boost eigenstates.,"Phase VII and later bridges track graph-Laplacian spectra, low-mode organization, and power-law-like scaling.",spectral scaling proxies only,OPEN,high,Construct a known Mellin/conformal-weight toy table before any HAOS comparison.,Power-law spectral fits are not celestial conformal dimensions.
bms_supertranslation_charges,Recover BMS supertranslation charges and their Ward identities.,"Current HAOS telemetry measures persistence, recoverability, causal closure, and scalar-carrier current proxies.",no asymptotic charge algebra,OPEN,high,Define an explicit charge-conservation benchmark with known Ward failures.,Do not infer BMS charges from low-mode persistence or recoverability.
virasoro_superrotation_structure,Recover superrotation/Virasoro-like generators and stress-tensor action.,"HAOS has harmonic addresses and branch-local spectral envelopes, but no stress tensor or conformal generator construction.",no Virasoro representation,OPEN,high,Only test after a controlled boundary operator algebra exists.,Do not use Virasoro/CFT language except as an external comparison target.
soft_theorem_factorization,"Preserve known soft limits, residues, and factorization behavior.","Physics bridge rows check scalar response laws, current closure, disorder flux, and localized-bump behavior.",generic perturbation telemetry only,OPEN,high,Phase 59 soft-theorem proxy test with known pole and residue structure.,Recoverability under perturbation is not a soft theorem.
s_matrix_unitarity,Connect to unitary flat-space scattering data or an S-matrix dictionary.,"HAOS propagation and temporal-ordering phases are abstract operator diagnostics, not scattering amplitudes.",no amplitude or unitarity map,OPEN,high,Start with a toy unitary scattering table before real amplitude claims.,Do not call current HAOS trajectories S-matrix data.
gravitational_memory_observable,Map to gravitational memory observables or memory/soft-charge equivalence.,"HAOS tracks persistence and recoverability after perturbations, including biology and physics-bridge stress tests.",memory-like metaphor only,OPEN,high,Require an explicit memory observable benchmark before promotion.,Persistence is not gravitational memory.
celestial_ope_collinear_limits,Recover celestial OPE coefficients or collinear-limit constraints.,No current HAOS artifact encodes collinear amplitude limits or celestial OPE data.,absent,OPEN,high,Use a toy amplitude dataset with known collinear limits.,Do not claim OPE recovery from branch-local hierarchy closure.
ir_pole_residue_structure,"Track infrared poles, analytic continuation, and residue stability.",Current scalar artifacts are finite-grid numerical observables with explicit frozen manifests and telemetry.,finite-grid telemetry only,OPEN,high,Create a residue-recoverability benchmark with controls that preserve spectra.,Finite-grid nullspaces and spectral drift are not IR pole data.
physics_bridge_proxy_boundary,Prevent current physics-facing proxies from being promoted into established gravity claims.,Physics Bridge 53.x already uses PASS/OPEN/WATCH rows and explicitly separates shell-native proxies from raw local-gradient failures.,bounded proxy dictionary,WATCH,medium,Phase 60 claim-gated physics bridge language update.,"Keep scalar-carrier observables framed as proxy tests, not ontology."
reproducibility_and_falsification,Make failures auditable and rerunnable.,"HAOS maintains frozen baselines, generated tables, public reproduction commands, and explicit FAIL/MARGINAL/PASS semantics.",strong operational coverage,PASS,low,Keep this sidecar generated and versioned.,"This passes reproducibility discipline, not celestial physics recovery."
claim_boundary_enforcement,State clearly that HAOS-IIP has not closed celestial holography.,"The saved Phase 57 roadmap and this audit require OPEN status for untested BMS, Virasoro, S-matrix, soft-theorem, and memory claims.",explicit boundary enforcement,PASS,low,Use the generated table as the gate for future physics-bridge text.,No celestial-facing claim may be promoted without a row-specific test.
