claim_id,claim_text,status,supporting_stage,supporting_metric_or_fact,scope,notes
P3_POS_01,The tested clustered DK braid/smear sector admits a valid two-state effective surrogate on the anchor lattice.,survives,23.11 / III-C2,effective_model_valid = TRUE; topology agreement = 1.0000; threshold error = 0.0000,clustered_sector_only,Valid only as a clustered texture surrogate.
P3_POS_02,The clustered DK sector closes as a finite smeared_dominant_closed_phase_diagram.,survives,23.12 / III-C3,phase_diagram_closed = True; closure_classification = smeared_dominant_closed_phase_diagram,phase_closure,Closure is one-sided and smeared-dominant.
P3_POS_03,Only the strong-asymmetry row width_ratio = 1.35 survives as refinement-/beta-/reverse-stable across the sampled phase corridor.,survives,23.12 / III-C3,stable component = smeared_transfer_phase; width_min = width_max = 1.35; phase range 0.375 -> 0.575,phase_closure,No symmetric or moderate-asymmetry cell closes stably.
P3_POS_04,phase_corridor_primary is the controlling mechanism classification for the braid/smear split in the clustered sector.,survives,23.13 / III-C4,overall_mechanism_label = phase_corridor_primary,mechanism_read,Weak and moderate phase flattening both flip the clustered control to transfer_smeared.
P3_POS_05,Geometry overlap and 0 <-> 1 operator cross-coupling act as bounded secondary supports only.,bounded_support,23.13 / III-C4,"Both branches collapse braid only at moderate ablation, not weak ablation.",mechanism_read,Secondary support only; not primary control.
P3_NEG_01,The DK braid does not generalize beyond clustered seeds and is not a family-wide intrinsic mechanism.,fails,23.10 / III-C1,non_clustered_braid_hits = 0; robust_non_clustered_braid_hits = 0,not_family_wide,Family-wide braid generalization fails on this branch.
P3_NEG_02,No stable closed braid phase survives the full closure pass.,fails,23.12 / III-C3,"stable_phase_counts = {'transient_mixed_phase': 10, 'smeared_transfer_phase': 5}",phase_closure,Braid remains transient and does not close as a stable phase.
P3_NEG_03,No localized encounter phase survives the closure pass.,fails,23.12 / III-C3,"stable_phase_counts = {'transient_mixed_phase': 10, 'smeared_transfer_phase': 5}",phase_closure,Localized encounter phase absent from the stable closure set.
P3_NEG_04,Grade transfer is not the primary driver on the frozen branch.,fails,23.13 / III-C4,grade-transfer branch label = no_clear_mechanism_signal,mechanism_read,Grade-transfer-primary mechanism claim fails.
P3_NEG_05,The observed clustered braid-like exchange may not be elevated into a universal topological law.,excluded,23.10 / III-C1; 23.12 / III-C3; 23.13 / III-C4,"Clustered-only scope, absence of stable braid closure, and phase-corridor-primary control bound the interpretation.",clustered_sector_only,Universal mechanism reading is excluded on this branch.
